rang,id,author,author_short,year,title,journal,type,langue,doi,url,number_citations,citations_source,citations_google_scholar,citations_google_scholar_date,citations_score,citations_score_source,citations_imputees,citations_utilisees,recurrence,cite_par,bibliographie_depouillee,round,direction,found_via,statut,c1,c2,c3,c4,pertinence_thematique,cit_norm,year_norm,pert_norm,score,citationAuteurAnnee,etiquette,notes,rang_inclus
11,christofides2010,"Christofides, Louis N.; Swidinsky, Robert",,2010,The economic returns to the knowledge and use of a second official language: English in Quebec and French in the rest-of-Canada,"Canadian Public Policy / Analyse de politiques, 36(2), 137-158",article,en,10.3138/cpp.36.2.137,,62.0,"Consensus/Semantic Scholar 2026-09 (fiche Project MUSE, DOI 10.1353/cpp.0.0067)",91.0,2026-09-03,91.0,Google Scholar,0,91.0,15,bousmah2021; donovan2024; floch2012; gagnon2023; geloso2025; grenier2016; grenier2019; nadeau2010; nadeau2010b; oqlf2022; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,0,seed,WebSearch,inclus,2,2,1,1,6,0.5730886251564149,0.8214285714285714,0.18072289156626506,0.525,"(Christofides et Swidinsky, 2010)","The economic returns to the knowledge and use of a seco... (Christofides et Swidinsky, 2010)",Rendement de la connaissance et de l'usage de l'anglais au Québec (et du français hors Québec) à partir du recensement 2001/EDI 2006 : rendement du bilinguisme surtout lié à l'usage au travail.,11.0
12,blishen1987,"Blishen, Bernard R.; Carroll, William K.; Moore, Catherine",,1987,The 1981 socioeconomic index for occupations in Canada,"Canadian Review of Sociology and Anthropology, 24(4), 465-488",article,en,10.1111/j.1755-618x.1987.tb00639.x,,376.0,Consensus/Semantic Scholar 2026-09,,,905.0,Consensus calibré (x2.41),0,905.0,10,beland1987; helmeshayes1998; herberg1990; lautard1990; lian1998; nakhaie1994; nakhaie1997; ogmundson1992; wanner1999; wanner2005,1,3,forward,citant blishen1958 (Consensus),contexte,0,2,1,0,3,0.8629733363347032,0.5476190476190477,0.12048192771084337,0.51,"(Blishen et al., 1987)","The 1981 socioeconomic index for occupations in Canada (Blishen et al., 1987)","Indice socioéconomique 1981 (revenu + scolarité, calibré sur l'échelle de prestige Pineo-Porter) ; outil standard des études de statut professionnel au Canada dans les années 1980-1990.",
13,pendakur2002,"Pendakur, Krishna; Pendakur, Ravi",,2002,Language as both human capital and ethnicity,"International Migration Review, 36(1), 147-177",article,en,10.1111/j.1747-7379.2002.tb00075.x,,147.0,Consensus/Semantic Scholar 2026-09,256.0,2026-09-03,256.0,Google Scholar,0,256.0,6,bousmah2021; christofides2006; christofides2010; grenier2016; nadeau2010b; vaillancourt2018,1,1,backward,bibliographie christofides2010 ; Consensus,contexte,1,2,1,1,5,0.7032863943533407,0.7261904761904762,0.07228915662650602,0.501,"(Pendakur et Pendakur, 2002)","Language as both human capital and ethnicity (Pendakur et Pendakur, 2002)","Montréal, Toronto, Vancouver (1991) : la connaissance d'une langue minoritaire est associée à des gains inférieurs, conditionnellement à la langue majoritaire ; la langue opère comme capital humain et comme marqueur ethnique (enclaves, discrimination).",
14,grenier1987,"Grenier, Gilles",,1987,Earnings by language group in Quebec in 1980 and emigration from Quebec between 1976 and 1981,"Canadian Journal of Economics, 20(4), 774-791",article,en,10.2307/135415,,42.0,Consensus/Semantic Scholar 2026-09,73.0,2026-09-03,73.0,Google Scholar,0,73.0,33,albouy2008; beland2010; bloom1992; bourhis2017; bousmah2021; chiswick1988; christofides1998; christofides2006; christofides2010; dean2022; floch2012; gagnon2023; geloso2025; grenier2016; grenier2019; laczko1995; levine1990; mcroberts1988; nadeau2010; nadeau2010b; pendakur2002; pettinicchio2012; shapiro1997; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, gagnon2023 (IDEAS) ; Consensus",inclus,2,2,1,1,6,0.5454944884791201,0.5476190476190477,0.39759036144578314,0.497,"(Grenier, 1987)","Earnings by language group in Quebec in 1980 and emigra... (Grenier, 1987)","Recensement 1981 : modèle à deux équations (émigration, revenu) ; biais de sélection chez les anglophones ; le rendement de l'apprentissage du français est sous-estimé si l'on ignore l'émigration.",12.0
15,bourhis2019,"Bourhis, Richard Y.",,2019,Evaluating the impact of Bill 101 on the English-speaking communities of Quebec,"Language Problems and Language Planning, 43(2)",article,en,10.1075/lplp.00042.bou,,12.0,Consensus/Semantic Scholar 2026-09,39.0,2026-09-03,39.0,Google Scholar,0,39.0,7,donovan2024; grenier2019; pert2023; serre2023; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.46752624955887545,0.9285714285714286,0.08433734939759036,0.493,"(Bourhis, 2019)","Evaluating the impact of Bill 101 on the English-speaki... (Bourhis, 2019)",Perspective de la minorité anglophone : perte nette interprovinciale de 310 000 anglophones ; ceux qui sont restés sont moins scolarisés et ont un revenu inférieur à celui des francophones (2016) ; rôle des lois linguistiques.,13.0
16,nadeau2010,"Nadeau, Serge",,2010,"Another look at the Francophone wage gap in Canada: Public and private sectors, Quebec and outside Quebec","Canadian Public Policy / Analyse de politiques, 36(2), 159-179",article,en,10.3138/cpp.36.2.159,,22.0,"Consensus/Semantic Scholar 2026-09 (fiche Project MUSE, DOI 10.1353/cpp.0.0068)",35.0,2026-09-03,35.0,Google Scholar,0,35.0,15,bousmah2021; christofides2010; donovan2024; floch2012; gagnon2023; geloso2025; grenier2016; grenier2019; nadeau2010b; oqlf2022; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus/WebSearch,inclus,2,2,1,1,6,0.45417292442320095,0.8214285714285714,0.18072289156626506,0.485,"(Nadeau, 2010)","Another look at the Francophone wage gap in Canada: Pub... (Nadeau, 2010)","Décomposition Blinder-Oaxaca 1970-2000 : hors Québec, aucun avantage anglophone inexpliqué ; au Québec, prime salariale des francophones dans le secteur public (1970-2000) et dans le privé en 2000, allant au-delà des compétences linguistiques.",14.0
17,chiswick1988,"Chiswick, Barry R.; Miller, Paul W.",,1988,"Earnings in Canada: The roles of immigrant generation, French ethnicity, and language","Research in Population Economics, 6, 183-228",article,en,10.4324/9780203963159-26,,90.0,Consensus/Semantic Scholar 2026-09,155.0,2026-09-03,155.0,Google Scholar,0,155.0,21,albouy2008; beland2010; bloom1992; bousmah2021; christofides1998; christofides2006; christofides2010; grenier2016; grenier2019; laczko1995; nadeau2010; nadeau2010b; pendakur2002; shapiro1997; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018,1,1,backward,"bibliographies christofides2010, nadeau2010 ; Consensus",inclus,2,2,1,1,6,0.6400155573662756,0.5595238095238095,0.25301204819277107,0.484,"(Chiswick et Miller, 1988)","Earnings in Canada: The roles of immigrant generation,... (Chiswick et Miller, 1988)","Recensements 1971 et 1981 : effets du statut d'immigrant, de l'ethnicité française et de la compétence linguistique sur les gains ; comparaison décennale. Réédité en 2007 dans The Economics of Language (Routledge).",15.0
18,vaillancourt2013,"Vaillancourt, François; Tousignant, Julien; Chatel-DeRepentigny, Joëlle; Coutu-Mantha, Simon",,2013,Revenus de travail et rendement des attributs linguistiques au Québec en 2005 et depuis 1970,"Canadian Public Policy / Analyse de politiques, 39(S1), S25-S40",article,fr,10.3138/cpp.39.supplement1.s25,,9.0,Consensus/Semantic Scholar 2026-09,24.0,2026-09-03,24.0,Google Scholar,0,24.0,15,bourhis2017; bourhis2019; bousmah2021; donovan2024; gagnon2023; geloso2025; grenier2016; grenier2019; oqlf2022; serre2023; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.4079582867686411,0.8571428571428571,0.18072289156626506,0.482,"(Vaillancourt et al., 2013)","Revenus de travail et rendement des attributs linguisti... (Vaillancourt et al., 2013)",Recensement 2006 (revenus 2005) comparé à 1970-2000 : le bilinguisme augmente le revenu de tous les groupes ; l'avantage historique (1970) des anglophones n'existe plus en 2005.,16.0
19,geloso2025,"Geloso, Vincent; Reilly, Chandler S.",,2025,Revisiting Quebec's Quiet Revolution: A synthetic control analysis,"Canadian Journal of Economics, 58(2), 548-579",article,en,10.1111/caje.70000,,,,,,31.0,imputé (médiane),1,31.0,0,,1,2,forward,"WebSearch (IDEAS : cite gagnon2023, dean2022)",contexte,0,2,1,1,4,0.43924517695759147,1.0,0.0,0.48,"(Geloso et Reilly, 2025)","Revisiting Quebec's Quiet Revolution: A synthetic contr... (Geloso et Reilly, 2025)","Contrôle synthétique : 1960 n'est pas une rupture pour le PIB par habitant, les salaires réels ou la scolarisation ; rupture modeste pour l'espérance de vie et la scolarité achevée par cohorte ; nuance le rôle causal de la Révolution tranquille dans la convergence.",
20,pert2023,Provincial Employment Roundtable (PERT),PERT,2023,Census 2021 Update: A brief review of the latest data on employment among Québec's English speakers,Montréal : PERT,report,en,,https://pertquebec.ca/wp-content/uploads/2023/05/Census-Brief-Update.pdf,,non indexé dans Consensus (littérature grise),,,31.0,imputé (médiane),1,31.0,2,donovan2024; serre2023,1,1,forward,WebSearch,inclus,2,2,1,0,5,0.43924517695759147,0.9761904761904762,0.024096385542168676,0.48,"(PERT, 2023)","Census 2021 Update: A brief review of the latest data o... (PERT, 2023)","Recensement 2021 (première langue officielle parlée) : taux de chômage 10,9 % (anglophones) contre 6,9 % (francophones) ; revenu d'emploi médian 32 000 $ contre 37 200 $ ; taux de pauvreté 10 % contre 5,8 % ; l'écart de chômage a doublé depuis 2016.",17.0
21,boulet1980,"Boulet, Jac-André",,1980,Language and Earnings in Montreal / La langue et le revenu du travail à Montréal,Ottawa : Conseil économique du Canada,book,en/fr,,,,,,,31.0,imputé (médiane),1,31.0,44,albouy2008; beland2010; bloom1992; boulet1981; boulet1983; bousmah2021; boyd1985; carliner1981; chiswick1988; christofides1998; christofides2006; christofides2010; coleman1984; fenwick1982; fortin2011; gagnon2023; grenier1984; grenier1987; grenier2016; grenier2019; lacroix1981; laczko1995; levine1990; mcroberts1988; nadeau2010; nadeau2010b; nakhaie1994; pendakur2002; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, nadeau2010, christofides2010 ; connaissance du texte",inclus,2,2,1,1,6,0.43924517695759147,0.4642857142857143,0.5301204819277109,0.478,"(Boulet, 1980)","Language and Earnings in Montreal / La langue et le rev... (Boulet, 1980)",Recensements 1961 et 1971 (RMR de Montréal) : les écarts de revenu de travail par langue se réduisent entre 1961 et 1971 ; rôle de la scolarité et du bilinguisme ; un des rares travaux exploitant 1961.,18.0
22,oqlf2022,Office québécois de la langue française,OQLF,2022,Portrait du revenu d'emploi au Québec en 2015 selon les langues utilisées au travail,Québec : OQLF (étude fondée sur le recensement de 2016),report,fr,,https://www.oqlf.gouv.qc.ca/ressources/sociolinguistique/2022/2022_etude_revenu-emploi-selon-langues-utilisees-travail.pdf,,non indexé dans Consensus (littérature grise),,,31.0,imputé (médiane),1,31.0,2,donovan2024; serre2023,1,3,forward,WebSearch,inclus,2,2,1,0,5,0.43924517695759147,0.9642857142857143,0.024096385542168676,0.476,"(OQLF, 2022)","Portrait du revenu d'emploi au Québec en 2015 selon les... (OQLF, 2022)","Recensement 2016 (revenus 2015) : revenu d'emploi moyen des anglophones 48 793 $ contre 44 029 $ pour les francophones, mais revenu médian inférieur (33 412 $ contre 35 566 $) ; dispersion plus grande chez les anglophones ; effet des langues utilisées au travail.",19.0
23,serre2023,"Serré, Pierre",,2023,Les Anglo-Québécois sont-ils plus pauvres ? Non !,Mémoire présenté au Comité permanent des langues officielles de la Chambre des communes,report,fr,,https://www.ourcommons.ca/Content/Committee/441/LANG/Brief/BR12960576/br-external/SerrePierre-f.pdf,,non indexé dans Consensus (littérature grise),,,31.0,imputé (médiane),1,31.0,1,donovan2024,1,3,forward,WebSearch,contexte,2,2,1,1,6,0.43924517695759147,0.9761904761904762,0.012048192771084338,0.476,"(Serré, 2023)","Les Anglo-Québécois sont-ils plus pauvres ? Non ! (Serré, 2023)","Réplique au discours de PERT sur l'appauvrissement des anglophones (recensement 2021) : effets de composition (immigration récente, âge, région) ; illustre le débat public sur l'inversion de l'écart.",
24,floch2012,"Floch, William; Pocock, Joanne",,2012,The socio-economic status of English-speaking Quebec: Those who left and those who stayed,"In R. Y. Bourhis (dir.), Decline and Prospects of the English-Speaking Communities of Quebec, Ottawa : Patrimoine canadien, 127-173",chapter,en,,,,non indexé dans Consensus,49.0,2026-09-03,49.0,Google Scholar,0,49.0,7,bourhis2012; bourhis2017; bourhis2019; donovan2024; pert2023; serre2023; vaillancourt2018,1,2,backward,"bibliographies bourhis2019, bourhis2017, donovan2024 (WebSearch)",inclus,2,2,1,1,6,0.4958073221601594,0.8452380952380952,0.08433734939759036,0.475,"(Floch et Pocock, 2012)","The socio-economic status of English-speaking Quebec: T... (Floch et Pocock, 2012)",Recensements 1971-2006 : statut socioéconomique des anglophones du Québec ; effet de sélection de l'émigration (les partants plus scolarisés/mieux rémunérés) ; les anglophones restés au Québec ont un revenu et une scolarité inférieurs aux francophones à partir des années 2000.,20.0
